MP ID,Time (hours),Depth (m)
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",300.84608460846084,89.85701390492227
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",300.9180918091809,89.79089574110589
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",300.990099009901,89.7247775772895
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",301.0621062106211,89.65865941347309
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",301.13411341134116,89.5925412496567
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",301.2061206120612,89.52642308584032
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",301.2781278127813,89.46030492202395
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",301.35013501350136,89.39418675820758
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",301.4221422142214,89.3280685943912
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",301.4941494149415,89.26195043057483
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",301.56615661566155,89.19583226675846
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",301.6381638163816,89.12971410294207
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",301.71017101710174,89.06359593912565
